Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
Louisiana,US,2020-05-12 3:32,30.71409502,-91.60209535,136,17,0,119
Texas,US,2020-05-12 3:32,30.71780434,-99.22629416,28,0,0,28
Alabama,US,2020-05-12 3:32,30.72774991,-87.72207058,224,6,0,218
Louisiana,US,2020-05-12 3:32,30.72985248,-92.39915924,67,1,0,66
Texas,US,2020-05-12 3:32,30.73872995,-95.57440968,342,2,0,340
Texas,US,2020-05-12 3:32,30.74685667,-94.02667579,19,1,0,18
Texas,US,2020-05-12 3:32,30.77031716,-94.37690895,7,0,0,7
Mississippi,US,2020-05-12 3:32,30.77090935,-89.58677275,190,24,0,166
Texas,US,2020-05-12 3:32,30.78097267,-102.7241261,15,0,0,15
Georgia,US,2020-05-12 3:32,30.78371028,-82.13951596,17,1,0,16
Alabama,US,2020-05-12 3:32,30.78472347,-88.20842409,1474,90,0,1384
Texas,US,2020-05-12 3:32,30.78548982,-93.74408813,4,0,0,4
Texas,US,2020-05-12 3:32,30.7858183,-96.97718698,20,1,0,19
Texas,US,2020-05-12 3:32,30.78801353,-98.181887,26,0,0,26
Mississippi,US,2020-05-12 3:32,30.79187949,-89.11547539,24,0,0,24
Texas,US,2020-05-12 3:32,30.79472531,-94.8276624,35,0,0,35
Florida,US,2020-05-12 3:32,30.7954597,-85.21500423,97,0,0,97
Louisiana,US,2020-05-12 3:32,30.82210324,-90.71013176,35,1,0,34
Georgia,US,2020-05-12 3:32,30.83568832,-83.27056716,185,4,0,181
Georgia,US,2020-05-12 3:32,30.83922642,-83.58303423,64,7,0,57
Louisiana,US,2020-05-12 3:32,30.84425359,-91.04976723,136,20,0,116
Louisiana,US,2020-05-12 3:32,30.85288548,-90.03866652,342,26,0,316
Mississippi,US,2020-05-12 3:32,30.86259065,-88.64436789,15,1,0,14
Georgia,US,2020-05-12 3:32,30.86392347,-83.91847289,249,26,0,223
Florida,US,2020-05-12 3:32,30.86747479,-85.81319222,10,0,0,10
Georgia,US,2020-05-12 3:32,30.87454847,-84.23418364,83,4,0,79
